"";"sofifa_id";"short_name";"overall";"potential";"age";"height_cm";"weight_kg";"club_name";"league_name";"club_contract_valid_until";"preferred_foot";"pace";"shooting";"passing";"dribbling";"defending";"physic";"formation";"player_tags";"value_eur"
"1";255438;"R. Araki";67;80;19;170;60;"Kashima Antlers";"Japanese J. League Division 1";2022;"Right";83;61;61;72;22;43;"mid";"";2400000
"2";246070;"Iván Jaime";70;82;20;180;73;"Futebol Clube de Famalicão";"Portuguese Liga ZON SAGRES";2025;"Right";72;70;65;71;50;60;"mid";"";3800000
"3";203173;"Noguera";68;68;31;177;65;"FC Goa";"Indian Super League";2022;"Right";75;62;67;69;57;59;"mid";"";1e+06
"4";178090;"D. Biseswar";75;75;33;176;79;"PAOK";"Greek Super League";2022;"Right";71;69;76;78;33;60;"mid";"";3500000
"5";223978;"Manu García";73;82;23;169;66;"Deportivo Alavés";"Spain Primera Division";2022;"Right";78;69;72;75;40;56;"mid";"";7e+06
"6";188081;"Alex Teixeira";77;77;31;173;68;"Beşiktaş JK";"Turkish Süper Lig";2023;"Right";83;76;73;80;40;70;"mid";"";9e+06
"7";229176;"G. Sağlam";66;74;23;178;72;"Willem II";"Holland Eredivisie";2022;"Right";71;59;66;67;53;59;"mid";"";1900000
"8";242052;"J. Medina";70;76;24;178;70;"New York City FC";"USA Major League Soccer";2022;"Left";71;67;70;68;34;55;"mid";"";2500000
"9";238504;"A. Bassi";71;77;23;173;69;"FC Metz";"French Ligue 1";2025;"Right";69;67;68;74;49;61;"mid";"";3e+06
"10";155355;"Lee Chung Yong";71;71;32;180;70;"Ulsan Hyundai FC";"Korean K League 1";2022;"Right";70;61;69;76;53;60;"mid";"";1500000
"11";263049;"P. Pomer";63;70;23;180;70;"SV Ried";"Austrian Football Bundesliga";2023;"Right";72;56;63;62;40;43;"mid";"";975000
"12";224389;"J. Larsson";77;84;24;175;68;"Spartak Moskva";"Russian Premier League";2023;"Left";84;78;74;79;29;72;"mid";"";21500000
"13";184913;"D. Hubert";68;68;33;184;79;"SV Zulte Waregem";"Belgian Jupiler Pro League";2023;"Right";45;61;64;55;67;71;"mid";"";6e+05
"14";199792;"A. Christiansen";75;75;31;175;68;"Malmö FF";"Swedish Allsvenskan";2024;"Right";75;72;73;77;65;73;"mid";"";4600000
"15";256832;"O. Babuscu";61;79;17;176;67;"FC Flyeralarm Admira";"Austrian Football Bundesliga";2023;"Right";65;62;60;65;28;54;"mid";"";825000
"16";135190;"M. Liendl";73;73;35;176;74;"RZ Pellets Wolfsberger AC";"Austrian Football Bundesliga";2022;"Left";50;72;79;72;52;66;"mid";"";1200000
"17";208787;"A. Thomasson";76;77;27;177;72;"RC Strasbourg Alsace";"French Ligue 1";2024;"Right";68;70;76;77;65;69;"mid";"";8500000
"18";199170;"B. Dabo";71;71;29;186;81;"Çaykur Rizespor";"Turkish Süper Lig";2024;"Right";61;67;69;73;72;77;"mid";"";1800000
"19";251176;"S. Silvera";61;77;20;173;69;"Newcastle Jets";"Australian Hyundai A-League";2022;"Right";69;54;51;64;29;46;"mid";"";850000
